test_name,condition,masking_policy,metric,mean_ann,std_ann,mean_snn,std_snn,statistic,p_value,p_adjusted,reject,cohens_d,d_ci_lower,d_ci_upper,n_seeds
paired_t,primary,future_block,loss,1.801225,0.056032,7.189007,1.303234,-13.199167,3.407465e-07,1.022239e-06,True,-4.1739,-10.9246,-3.1370,10
paired_t,primary,random_drop,loss,1.841269,0.060229,1.697503,0.129098,3.243367,1.010406e-02,1.010406e-02,True,1.0256,0.4358,2.6156,10
paired_t,primary,multi_target,loss,1.865411,0.067379,5.654028,0.276257,-38.891053,2.441646e-11,1.220823e-10,True,-12.2984,-23.0731,-9.3064,10
paired_t,primary,future_block,latency_ms,2.819415,0.030010,7.162926,0.044369,-256.253928,1.068052e-18,3.204157e-18,True,-81.0346,-143.8218,-63.8074,10
paired_t,primary,random_drop,latency_ms,2.806393,0.027694,7.169934,0.068179,-164.663374,5.713577e-17,1.142715e-16,True,-52.0711,-119.7514,-38.1593,10
paired_t,primary,multi_target,latency_ms,2.820019,0.028629,7.176453,0.088578,-155.049441,9.816891e-17,1.142715e-16,True,-49.0309,-127.1271,-35.7248,10
paired_t,NoPos,future_block,loss,1.800993,0.056098,2.644834,0.260130,-10.329651,2.729902e-06,5.459804e-06,True,-3.2665,-5.8735,-2.3356,10
paired_t,NoMaskTok,future_block,loss,1.801227,0.056035,7.603111,1.208034,-15.210689,9.993366e-08,3.997347e-07,True,-4.8100,-9.0028,-3.7586,10
paired_t,OnlineTeacher,future_block,loss,1.802241,0.056064,0.379213,0.016580,86.230260,1.922137e-14,1.153282e-13,True,27.2684,21.4508,73.9195,10
wilcoxon,primary,future_block,loss,1.801225,0.056032,7.189007,1.303234,0.000000,1.953125e-03,1.171875e-02,True,,,,10
wilcoxon,primary,random_drop,loss,1.841269,0.060229,1.697503,0.129098,5.000000,1.953125e-02,1.953125e-02,True,,,,10
wilcoxon,primary,multi_target,loss,1.865411,0.067379,5.654028,0.276257,0.000000,1.953125e-03,1.171875e-02,True,,,,10
wilcoxon,primary,future_block,latency_ms,2.819415,0.030010,7.162926,0.044369,0.000000,1.953125e-03,5.859375e-03,True,,,,10
wilcoxon,primary,random_drop,latency_ms,2.806393,0.027694,7.169934,0.068179,0.000000,1.953125e-03,5.859375e-03,True,,,,10
wilcoxon,primary,multi_target,latency_ms,2.820019,0.028629,7.176453,0.088578,0.000000,1.953125e-03,5.859375e-03,True,,,,10
wilcoxon,NoPos,future_block,loss,1.800993,0.056098,2.644834,0.260130,0.000000,1.953125e-03,1.171875e-02,True,,,,10
wilcoxon,NoMaskTok,future_block,loss,1.801227,0.056035,7.603111,1.208034,0.000000,1.953125e-03,1.171875e-02,True,,,,10
wilcoxon,OnlineTeacher,future_block,loss,1.802241,0.056064,0.379213,0.016580,0.000000,1.953125e-03,1.171875e-02,True,,,,10
